Job 	 | Submit time 	 | Run time 	 | Job Type-ExecTime 	 | Num nodes
-------------------------------------------------
Job 60:      1 	    120 	      3-    15 	      4
Job 61:      2 	      5 	      5-     5 	      8
Job 62:      1 	   1182 	     12-   600 	      1
Job 63:      0 	    135 	      5-     5 	      4
Job 64:      1 	      4 	      4-    10 	      1
Job 65:      0 	   7387 	      3-    15 	    256
Job 66:      0 	    326 	      1-   240 	      1
Job 67:      0 	   5517 	      5-     5 	      2
Job 68:      1 	  15222 	     12-   600 	     64
Job 69:     62 	    543 	     10-     5 	      2
Job 70:      3 	      4 	      4-    10 	      4
Job 71:      0 	  16297 	      8-    60 	     10
Job 72:      2 	      7 	      7-    10 	      1
Job 73:      6 	   8319 	     12-   600 	      4
Job 74:      3 	  13181 	     12-   600 	     32
Job 75:      6 	    633 	      9-    30 	      4
Job 76:     12 	     53 	      1-   240 	      4
Job 77:      1 	   3769 	     12-   600 	      4
Job 78:      1 	     16 	      3-    15 	      1
Job 79:      0 	     54 	      2-   180 	      1
Job 80:      0 	   8470 	      7-    10 	      8
Job 81:      1 	  11408 	      7-    10 	    249
Job 82:      2 	    290 	      4-    10 	     13
Job 83:     56 	   9015 	      6-    10 	      2
Job 84:     13 	     24 	     11-  1200 	      1
Job 85:      3 	    147 	      4-    10 	      1
Job 86:      7 	   8073 	      0-   210 	      2
Job 87:     71 	     99 	      8-    60 	      8
Job 88:      1 	  21359 	      0-   210 	     16
Job 89:      3 	     27 	      1-   240 	      9
Job 90:    300 	  11748 	      9-    30 	      1
Job 91:     28 	    438 	      9-    30 	      4
Job 92:      2 	   7020 	      0-   210 	      2
Job 93:     11 	   8770 	      8-    60 	      1
Job 94:      0 	   5467 	      7-    10 	      1
Job 95:      9 	  12857 	      0-   210 	     66
Job 96:     27 	   7467 	      5-     5 	     32
Job 97:     25 	      8 	      8-    60 	     16
Job 98:     35 	    111 	      7-    10 	      1
Job 99:      4 	      6 	      6-    10 	     16
Job 100:     57 	  17444 	     11-  1200 	    128
Job 101:      9 	    114 	     10-     5 	      1
Job 102:      5 	  14412 	      8-    60 	     16
Job 103:     28 	   7494 	      6-    10 	     16
Job 104:      7 	     10 	     10-     5 	      1
Job 105:      7 	      3 	      3-    15 	     32
Job 106:     62 	     11 	     11-  1200 	     16
Job 107:     45 	   8647 	      2-   180 	      4
Job 108:      1 	     29 	      3-    15 	      4
Job 109:      0 	      2 	      2-   180 	      5
Job 110:     13 	   1434 	      4-    10 	      1
Job 111:     16 	    529 	      9-    30 	      8
Job 112:     12 	  20527 	      0-   210 	     16
Job 113:     48 	  16398 	      5-     5 	     32
Job 114:      1 	  12200 	      6-    10 	      1
Job 115:      9 	    196 	      1-   240 	      3
Job 116:      0 	     14 	      1-   240 	     32
Job 117:     27 	  13655 	      5-     5 	      1
Job 118:      0 	   8899 	      7-    10 	      1
Job 119:      4 	    225 	      4-    10 	     32
Job 120:      1 	    220 	     12-   600 	      4
Job 121:      1 	      6 	      6-    10 	      1
Job 122:     30 	    441 	     12-   600 	      1
Job 123:      7 	     14 	      1-   240 	      8
Job 124:     15 	    117 	      0-   210 	      8
Job 125:      3 	     85 	      7-    10 	      1
Job 126:      3 	   2307 	      6-    10 	     17
Job 127:      7 	     15 	      2-   180 	      4
Job 128:      0 	    564 	      5-     5 	      8
Job 129:      6 	   9770 	      7-    10 	    256
Job 130:    300 	  25551 	      6-    10 	      8
Job 131:      0 	  14178 	      8-    60 	     32
Job 132:      3 	   8257 	      2-   180 	      1
Job 133:      0 	  14552 	      5-     5 	    256
Job 134:      1 	  16366 	     12-   600 	      3
Job 135:      5 	  22018 	      9-    30 	      1
Job 136:      2 	   4988 	      9-    30 	      8
Job 137:      2 	    421 	      5-     5 	      1
Job 138:     23 	    126 	      9-    30 	      8
Job 139:      0 	      5 	      5-     5 	      2
Job 140:      0 	    128 	     11-  1200 	      3
Job 141:      0 	    136 	      6-    10 	      1
Job 142:      0 	      7 	      7-    10 	      2
Job 143:      0 	      6 	      6-    10 	      1
Job 144:     12 	    130 	      0-   210 	      4
Job 145:      0 	     10 	     10-     5 	      8
Job 146:      1 	  26722 	      7-    10 	     16
Job 147:      1 	     53 	      1-   240 	      8
Job 148:      5 	     29 	      3-    15 	      7
Job 149:      3 	     89 	     11-  1200 	      1
Job 150:     29 	    160 	      4-    10 	      1
Job 151:      0 	  12143 	      1-   240 	      2
Job 152:     33 	      2 	      2-   180 	      2
Job 153:      5 	   7925 	      8-    60 	      1
Job 154:      1 	    219 	     11-  1200 	      8
Job 155:      3 	    734 	      6-    10 	      8
Job 156:      1 	     44 	      5-     5 	     21
Job 157:      2 	   6105 	      8-    60 	      8
Job 158:     25 	   4823 	      0-   210 	      4
Job 159:      1 	     12 	     12-   600 	      2
Job 160:     20 	    524 	      4-    10 	     16
Job 161:      4 	      4 	      4-    10 	      8
Job 162:      1 	     21 	      8-    60 	      4
Job 163:      0 	   6596 	      5-     5 	     32
Job 164:     11 	     52 	      0-   210 	      5
Job 165:     71 	   2004 	      2-   180 	     32
Job 166:      1 	  18372 	      3-    15 	    128
Job 167:      0 	   6392 	      9-    30 	    128
Job 168:      2 	     26 	      0-   210 	      1
Job 169:      3 	   2167 	      9-    30 	      2
Job 170:     11 	   8012 	      4-    10 	      1
Job 171:     24 	  10636 	      2-   180 	     32
Job 172:      1 	      5 	      5-     5 	     16
Job 173:      5 	  27712 	      9-    30 	      1
Job 174:      0 	   9814 	     12-   600 	     16
Job 175:      0 	     31 	      5-     5 	      1
Job 176:      0 	     48 	      9-    30 	      2
Job 177:      8 	    125 	      8-    60 	      8
Job 178:      1 	   7063 	      4-    10 	      1
Job 179:      4 	    488 	      7-    10 	      8
Job 180:     23 	     16 	      3-    15 	      8
Job 181:      1 	     33 	      7-    10 	     64
Job 182:      1 	  10176 	     10-     5 	     32
Job 183:      1 	    535 	      2-   180 	     32
Job 184:     10 	      8 	      8-    60 	      1
Job 185:      0 	     14 	      1-   240 	      2
Job 186:      6 	      3 	      3-    15 	      4
Job 187:    208 	     22 	      9-    30 	      8
Job 188:     11 	  19459 	     11-  1200 	      2
Job 189:     27 	   8928 	     10-     5 	    128
Job 190:      1 	   8171 	      7-    10 	      4
Job 191:      2 	     43 	      4-    10 	     16
Job 192:      1 	     35 	      9-    30 	      8
Job 193:      1 	     21 	      8-    60 	     64
Job 194:      8 	     88 	     10-     5 	      8
Job 195:      7 	  11586 	      3-    15 	     22
Job 196:      6 	   9480 	      3-    15 	     10
Job 197:     28 	  25457 	      3-    15 	     16
Job 198:     18 	  15857 	     10-     5 	     32
Job 199:      0 	     73 	      8-    60 	      1
Job 200:      6 	     16 	      3-    15 	     11
Job 201:     65 	  16211 	      0-   210 	      2
Job 202:      1 	     63 	     11-  1200 	      1
Job 203:      5 	     48 	      9-    30 	     34
Job 204:      4 	   4938 	     11-  1200 	      8
Job 205:      4 	  30744 	     12-   600 	     32
Job 206:      2 	   4648 	      7-    10 	     64
Job 207:      1 	   6303 	     11-  1200 	      4
Job 208:     17 	     21 	      8-    60 	      8
Job 209:      2 	  11470 	      4-    10 	     16
Job 210:     14 	  11910 	      2-   180 	      4
Job 211:     34 	      5 	      5-     5 	      1
Job 212:     21 	     78 	      0-   210 	      2
Job 213:    150 	     10 	     10-     5 	      1
Job 214:      0 	  10111 	     10-     5 	      1
Job 215:      4 	    112 	      8-    60 	     32
Job 216:      0 	     18 	      5-     5 	     16
Job 217:      6 	     14 	      1-   240 	     32
Job 218:     19 	      2 	      2-   180 	      2
Job 219:     11 	     30 	      4-    10 	      2
Job 220:      2 	  15338 	     11-  1200 	      8
Job 221:      8 	    348 	     10-     5 	      4
Job 222:     13 	     16 	      3-    15 	      6
Job 223:      7 	    203 	      8-    60 	      4
Job 224:      1 	   5141 	      6-    10 	      1
Job 225:      3 	      3 	      3-    15 	      2
Job 226:      8 	   8455 	      5-     5 	     16
Job 227:     16 	   7659 	      2-   180 	    128
Job 228:      0 	    142 	     12-   600 	      4
Job 229:      8 	     94 	      3-    15 	      1
Job 230:      8 	   2912 	      0-   210 	      8
Job 231:      3 	     23 	     10-     5 	      1
Job 232:      1 	     17 	      4-    10 	      2
Job 233:      1 	  12278 	      6-    10 	     93
Job 234:      0 	      8 	      8-    60 	      1
Job 235:      3 	  27668 	      4-    10 	      8
Job 236:      4 	     62 	     10-     5 	     64
Job 237:      0 	    390 	      0-   210 	     52
Job 238:      3 	   4508 	     10-     5 	     32
Job 239:      1 	      5 	      5-     5 	      1
Job 240:      1 	     61 	      9-    30 	      4
Job 241:      1 	     22 	      9-    30 	      8
Job 242:     21 	     19 	      6-    10 	      2
Job 243:      3 	  11485 	      6-    10 	    249
Job 244:     21 	   3598 	     10-     5 	      2
Job 245:     28 	  25272 	      0-   210 	      8
Job 246:      1 	     67 	      2-   180 	      7
Job 247:      4 	    829 	     10-     5 	     26
Job 248:     20 	    854 	      9-    30 	      4
Job 249:     40 	   6489 	      2-   180 	      9
Job 250:      0 	     24 	     11-  1200 	     16
Job 251:      0 	   8091 	      5-     5 	     32
Job 252:      7 	    185 	      3-    15 	      2
Job 253:    300 	     30 	      4-    10 	      1
Job 254:      1 	   4550 	      0-   210 	     64
Job 255:      1 	   4891 	      3-    15 	     32
Job 256:      0 	  38466 	     12-   600 	      1
Job 257:      0 	  18908 	      6-    10 	      2
Job 258:      0 	   8770 	      8-    60 	     16
Job 259:      4 	  14774 	      6-    10 	    128
Job 260:      1 	      4 	      4-    10 	      1
Job 261:      2 	     59 	      7-    10 	      1
Job 262:      1 	    113 	      9-    30 	     16
Job 263:      1 	  30460 	      1-   240 	     16
Job 264:      7 	   1032 	      5-     5 	     16
Job 265:      0 	      6 	      6-    10 	      8
Job 266:      0 	     71 	      6-    10 	      2
Job 267:      2 	     32 	      6-    10 	     16
Job 268:      0 	   5027 	      9-    30 	      2
Job 269:      0 	     12 	     12-   600 	     32
Job 270:      2 	     21 	      8-    60 	      1
Job 271:      2 	  15715 	     11-  1200 	      8
Job 272:     90 	  11459 	      6-    10 	      8
Job 273:    300 	   9019 	     10-     5 	      3
Job 274:      0 	     66 	      1-   240 	     32
Job 275:     16 	    391 	      1-   240 	     16
Job 276:      0 	     97 	      6-    10 	      8
Job 277:      0 	     20 	      7-    10 	      1
Job 278:     16 	   6691 	      9-    30 	      1
Job 279:      1 	     29 	      3-    15 	     43
Job 280:      1 	     50 	     11-  1200 	      8
Job 281:      1 	      3 	      3-    15 	      4
Job 282:      0 	   7298 	      5-     5 	     58
Job 283:      0 	     98 	      7-    10 	      1
Job 284:      0 	     27 	      1-   240 	      9
Job 285:      1 	     11 	     11-  1200 	     32
Job 286:      0 	   8758 	      9-    30 	      8
Job 287:     19 	      2 	      2-   180 	      1
Job 288:      1 	    395 	      5-     5 	     32
Job 289:      1 	   1567 	      7-    10 	     32
Job 290:      9 	      4 	      4-    10 	      1
Job 291:      3 	  12468 	      1-   240 	     64
Job 292:      0 	   8666 	      8-    60 	      8
Job 293:      0 	   7876 	     11-  1200 	     32
Job 294:      1 	     17 	      4-    10 	      2
Job 295:     30 	   8516 	      1-   240 	      9
Job 296:      2 	    137 	      7-    10 	      8
Job 297:      0 	  20821 	      8-    60 	     19
Job 298:      7 	    295 	      9-    30 	     38
Job 299:      2 	  16848 	      0-   210 	      1
Job 300:      2 	   7502 	      1-   240 	      4
Job 301:      1 	     23 	     10-     5 	      1
Job 302:      0 	   2261 	     12-   600 	      1
Job 303:      2 	      8 	      8-    60 	     32
Job 304:      2 	   1147 	      3-    15 	      8
Job 305:      0 	     81 	      3-    15 	      1
Job 306:     42 	      5 	      5-     5 	     17
Job 307:      1 	   9522 	      6-    10 	     16
Job 308:     19 	    128 	     11-  1200 	     10
Job 309:      0 	    218 	     10-     5 	      8
Job 310:      3 	   1858 	     12-   600 	     16
Job 311:      3 	   1370 	      5-     5 	      2
Job 312:      1 	     14 	      1-   240 	      1
Job 313:      0 	    236 	      2-   180 	      2
Job 314:      0 	      5 	      5-     5 	      1
Job 315:      2 	      2 	      2-   180 	      1
Job 316:      0 	  13484 	      3-    15 	     32
Job 317:      0 	     13 	      0-   210 	      2
Job 318:      2 	  10059 	     10-     5 	      1
Job 319:      0 	   9954 	      9-    30 	     32
Job 320:      0 	     39 	      0-   210 	     16
Job 321:      0 	  12251 	      5-     5 	     13
Job 322:      0 	      7 	      7-    10 	     24
Job 323:      4 	     64 	     12-   600 	     16
Job 324:      2 	   8320 	      0-   210 	      1
Job 325:      8 	  15454 	     10-     5 	      4
Job 326:      1 	     21 	      8-    60 	      1
Job 327:     14 	     64 	     12-   600 	      3
Job 328:      1 	     97 	      6-    10 	      9
Job 329:      0 	    138 	      8-    60 	     16
Job 330:      5 	  13757 	      3-    15 	     32
Job 331:      0 	     15 	      2-   180 	      5
Job 332:      6 	     32 	      6-    10 	      1
Job 333:      0 	   7690 	      7-    10 	    131
Job 334:      3 	   5935 	      7-    10 	    256
Job 335:      0 	     35 	      9-    30 	     32
Job 336:      2 	     25 	     12-   600 	     12
Job 337:      6 	     75 	     10-     5 	     32
Job 338:      1 	     19 	      6-    10 	      1
Job 339:      4 	   6607 	      3-    15 	     12
Job 340:      2 	     32 	      6-    10 	      8
Job 341:      1 	     20 	      7-    10 	      4
Job 342:      1 	     29 	      3-    15 	      8
Job 343:      8 	  53754 	     12-   600 	     32
Job 344:      7 	     11 	     11-  1200 	      4
Job 345:      0 	   9300 	      5-     5 	      4
Job 346:      0 	  25129 	      0-   210 	      1
Job 347:      0 	      6 	      6-    10 	      4
Job 348:      1 	     28 	      2-   180 	      4
Job 349:      0 	   8208 	      5-     5 	    256
Job 350:    211 	    194 	     12-   600 	      1
Job 351:      0 	    180 	     11-  1200 	     16
Job 352:      0 	   4684 	      4-    10 	     64
Job 353:     34 	     17 	      4-    10 	      8
Job 354:      1 	     16 	      3-    15 	     32
Job 355:      0 	   6142 	      6-    10 	      1
Job 356:      2 	    228 	      7-    10 	      4
Job 357:     99 	    150 	      7-    10 	      2
Job 358:      3 	   9595 	      1-   240 	      8
Job 359:      1 	  12579 	      8-    60 	      4
Job 360:      7 	  18619 	      3-    15 	      1
Job 361:     10 	    142 	     12-   600 	      1
Job 362:     10 	   2562 	      1-   240 	      1
Job 363:      1 	      3 	      3-    15 	      1
Job 364:     12 	     12 	     12-   600 	      2
Job 365:      1 	    334 	      9-    30 	     32
Job 366:      2 	     11 	     11-  1200 	      1
Job 367:      0 	   8275 	      7-    10 	      8
Job 368:     48 	    678 	      2-   180 	      1
Job 369:      1 	    504 	     10-     5 	      7
Job 370:      8 	  10206 	      1-   240 	     32
Job 371:      1 	     17 	      4-    10 	     16
Job 372:      2 	   6254 	      1-   240 	     16
Job 373:    104 	  14509 	      1-   240 	     16
Job 374:     32 	     10 	     10-     5 	      3
Job 375:     10 	   8854 	      1-   240 	      1
Job 376:      5 	    163 	      7-    10 	      1
Job 377:     29 	   2834 	      0-   210 	      1
Job 378:      3 	   9638 	      5-     5 	    256
Job 379:    205 	  17765 	      7-    10 	     16
Job 380:     10 	    115 	     11-  1200 	      2
Job 381:      3 	      3 	      3-    15 	      1
Job 382:      3 	     69 	      4-    10 	      1
Job 383:     81 	   1599 	      0-   210 	      4
Job 384:      0 	     32 	      6-    10 	      2
Job 385:      0 	    168 	     12-   600 	      2
Job 386:     31 	  10419 	      6-    10 	      8
Job 387:      1 	    111 	      7-    10 	      8
Job 388:      0 	   8944 	      0-   210 	      8
Job 389:      1 	     22 	      9-    30 	      4
Job 390:     15 	  11452 	     12-   600 	     64
Job 391:      2 	     19 	      6-    10 	      8
Job 392:     12 	     57 	      5-     5 	      1
Job 393:      3 	  21114 	      2-   180 	     16
Job 394:      2 	     10 	     10-     5 	     16
Job 395:      1 	     16 	      3-    15 	      5
Job 396:      3 	    111 	      7-    10 	      4
Job 397:      6 	  11392 	      4-    10 	      8
Job 398:      0 	     26 	      0-   210 	      4
Job 399:     17 	     31 	      5-     5 	     15
Job 400:      0 	   7662 	      5-     5 	      1
Job 401:     32 	     43 	      4-    10 	     32
Job 402:      4 	     20 	      7-    10 	      1
Job 403:      5 	    100 	      9-    30 	      1
Job 404:      0 	     12 	     12-   600 	      4
Job 405:     40 	    164 	      8-    60 	      9
Job 406:      0 	     58 	      6-    10 	     16
Job 407:      0 	    270 	     10-     5 	      8
Job 408:      0 	  12461 	      7-    10 	    256
Job 409:      0 	      8 	      8-    60 	      1
Job 410:      0 	   7789 	      2-   180 	     32
Job 411:      2 	    124 	      7-    10 	      1
Job 412:      0 	      4 	      4-    10 	     16
Job 413:     10 	    142 	     12-   600 	      8
Job 414:     41 	     98 	      7-    10 	      8
Job 415:      4 	    545 	     12-   600 	     32
Job 416:      6 	      9 	      9-    30 	      4
Job 417:      0 	     73 	      8-    60 	     29
Job 418:      1 	    112 	      8-    60 	      1
Job 419:      1 	   7530 	      3-    15 	     32
Job 420:      4 	  19312 	      7-    10 	    128
Job 421:      2 	     89 	     11-  1200 	      4
Job 422:      2 	   5777 	      5-     5 	     16
Job 423:      3 	     59 	      7-    10 	      4
Job 424:      1 	    119 	      2-   180 	     32
Job 425:      3 	      4 	      4-    10 	      4
Job 426:      2 	   6793 	      7-    10 	     64
Job 427:      0 	     31 	      5-     5 	     16
Job 428:      1 	     15 	      2-   180 	     19
Job 429:      0 	     17 	      4-    10 	      2
Job 430:      0 	     54 	      2-   180 	      1
Job 431:     18 	     39 	      0-   210 	     32
Job 432:      0 	     25 	     12-   600 	      8
Job 433:     11 	     31 	      5-     5 	     32
Job 434:      1 	     21 	      8-    60 	      2
Job 435:      0 	    207 	     12-   600 	      8
Job 436:      0 	  10741 	      3-    15 	      4
Job 437:      1 	  10663 	      3-    15 	      2
Job 438:      0 	      8 	      8-    60 	      4
Job 439:      0 	      5 	      5-     5 	     32
Job 440:      0 	  14593 	      7-    10 	      2
Job 441:     15 	      9 	      9-    30 	      4
Job 442:      0 	    239 	      5-     5 	     16
Job 443:      0 	     43 	      4-    10 	      8
Job 444:     24 	     34 	      8-    60 	      4
Job 445:      1 	      6 	      6-    10 	      2
Job 446:      4 	      5 	      5-     5 	      1
Job 447:      0 	     24 	     11-  1200 	     16
Job 448:      1 	    308 	      9-    30 	     16
Job 449:    148 	  14444 	      1-   240 	    256
Job 450:      3 	     25 	     12-   600 	      1
Job 451:     47 	  14010 	      9-    30 	      1
Job 452:     14 	   8321 	      1-   240 	    128
Job 453:      0 	     17 	      4-    10 	      2
Job 454:      2 	     19 	      6-    10 	      4
Job 455:      4 	   4516 	      5-     5 	      7
Job 456:      3 	    145 	      2-   180 	     32
Job 457:      0 	      3 	      3-    15 	      1
Job 458:      2 	     18 	      5-     5 	      8
Job 459:      0 	  16890 	      3-    15 	      2
Job 460:      1 	  24053 	      3-    15 	     32
Job 461:      1 	     43 	      4-    10 	      8
Job 462:      0 	  10388 	      1-   240 	     16
Job 463:     46 	   4437 	      4-    10 	     16
Job 464:      3 	  10151 	     11-  1200 	    256
Job 465:      0 	     55 	      3-    15 	      8
Job 466:      1 	    192 	     10-     5 	     16
Job 467:     28 	     15 	      2-   180 	      1
Job 468:      9 	   8115 	      3-    15 	    178
Job 469:      1 	   8418 	      7-    10 	     16
Job 470:      0 	     77 	     12-   600 	     39
Job 471:      2 	     13 	      0-   210 	      1
Job 472:      0 	  14094 	      2-   180 	    238
Job 473:      0 	     16 	      3-    15 	      1
Job 474:      1 	     89 	     11-  1200 	      8
Job 475:      2 	    176 	      7-    10 	      1
Job 476:     66 	      4 	      4-    10 	      1
Job 477:      4 	      5 	      5-     5 	     16
Job 478:      8 	  11043 	      6-    10 	      2
Job 479:      7 	   7941 	     11-  1200 	     16
Job 480:      2 	    306 	      7-    10 	      8
Job 481:      1 	  15247 	     11-  1200 	     14
Job 482:      3 	      6 	      6-    10 	     13
Job 483:     24 	    565 	      6-    10 	      1
Job 484:     12 	  11611 	      2-   180 	      6
Job 485:     33 	      8 	      8-    60 	     32
Job 486:      1 	     14 	      1-   240 	      5
Job 487:     15 	    285 	     12-   600 	      2
Job 488:     13 	     58 	      6-    10 	      1
Job 489:      1 	  10437 	     11-  1200 	      1
Job 490:      2 	      4 	      4-    10 	     32
Job 491:      8 	     28 	      2-   180 	      8
Job 492:      1 	   6301 	      9-    30 	    128
Job 493:     26 	     25 	     12-   600 	      8
Job 494:      3 	     52 	      0-   210 	      1
Job 495:      3 	  20577 	     11-  1200 	      2
Job 496:      0 	  10561 	      5-     5 	      4
Job 497:     17 	     55 	      3-    15 	     16
Job 498:    300 	  24490 	     11-  1200 	    128
Job 499:      1 	    136 	      6-    10 	      1
Job 500:      6 	    274 	      1-   240 	      2
Job 501:    144 	     40 	      1-   240 	      4
Job 502:      2 	     38 	     12-   600 	      1
Job 503:      0 	     14 	      1-   240 	      4
Job 504:      5 	    142 	     12-   600 	      3
Job 505:      2 	     47 	      8-    60 	      2
Job 506:      0 	     23 	     10-     5 	      8
Job 507:      1 	      3 	      3-    15 	      3
Job 508:      0 	      5 	      5-     5 	      2
Job 509:      0 	     43 	      4-    10 	      2
Job 510:      2 	     24 	     11-  1200 	    128
Job 511:      0 	      2 	      2-   180 	     32
Job 512:     18 	     38 	     12-   600 	     32
Job 513:      2 	    919 	      9-    30 	      2
Job 514:      0 	     20 	      7-    10 	      2
Job 515:      1 	  13786 	      6-    10 	      4
Job 516:      0 	      6 	      6-    10 	      8
Job 517:      0 	    273 	      0-   210 	      1
Job 518:      1 	   8944 	      0-   210 	      2
Job 519:      0 	   6619 	      2-   180 	      4
Job 520:      1 	     19 	      6-    10 	      1
Job 521:      2 	   7282 	      2-   180 	     32
Job 522:     12 	      8 	      8-    60 	      1
Job 523:      0 	  24387 	     12-   600 	      1
Job 524:      1 	      2 	      2-   180 	     16
Job 525:      0 	    698 	      9-    30 	      1
Job 526:     17 	  18580 	      3-    15 	     32
Job 527:      1 	     13 	      0-   210 	      2
Job 528:      0 	  11835 	      5-     5 	    128
Job 529:      3 	  15210 	      0-   210 	      1
Job 530:      1 	     11 	     11-  1200 	      8
Job 531:      0 	    116 	     12-   600 	      4
Job 532:      2 	   1214 	      5-     5 	      8
Job 533:      2 	  17860 	     11-  1200 	     10
Job 534:      0 	   8189 	     12-   600 	      8
Job 535:      1 	     13 	      0-   210 	     34
Job 536:      0 	    351 	      0-   210 	      2
Job 537:      0 	    454 	     12-   600 	      2
Job 538:      1 	  17294 	      4-    10 	      1
Job 539:      0 	   5391 	      9-    30 	    256
Job 540:      0 	   1976 	      0-   210 	      4
Job 541:      4 	      5 	      5-     5 	      1
Job 542:      0 	    382 	      5-     5 	      1
Job 543:      2 	     60 	      8-    60 	     64
Job 544:      0 	     45 	      6-    10 	      1
Job 545:      0 	     34 	      8-    60 	     16
Job 546:      3 	     15 	      2-   180 	      4
Job 547:      0 	    223 	      2-   180 	      1
Job 548:      0 	     69 	      4-    10 	     20
Job 549:      6 	    221 	      0-   210 	     10
Job 550:      0 	     34 	      8-    60 	      8
Job 551:      0 	  13108 	      4-    10 	     15
Job 552:      0 	    134 	      4-    10 	      3
Job 553:      0 	  18753 	      7-    10 	     21
Job 554:     43 	   2075 	      8-    60 	     16
Job 555:      1 	     27 	      1-   240 	     32
Job 556:      1 	     29 	      3-    15 	      2
Job 557:      0 	      8 	      8-    60 	      1
Job 558:      2 	   7104 	      6-    10 	    128
Job 559:      0 	     34 	      8-    60 	      1
Job 560:      0 	     48 	      9-    30 	     32
Job 561:      0 	     10 	     10-     5 	      2
Job 562:      7 	   8873 	      7-    10 	     64
Job 563:      0 	    571 	     12-   600 	      8
Job 564:      4 	   9160 	      8-    60 	      1
Job 565:      0 	  11750 	     11-  1200 	      2
Job 566:      0 	     14 	      1-   240 	      4
Job 567:      2 	   9843 	      2-   180 	     32
Job 568:      0 	   4877 	      2-   180 	      4
Job 569:      0 	     10 	     10-     5 	      7
Job 570:      0 	     31 	      5-     5 	     32
Job 571:      3 	  80391 	     12-   600 	      4
Job 572:      2 	   3947 	      8-    60 	     16
Job 573:    160 	     25 	     12-   600 	      8
Job 574:      0 	    763 	      9-    30 	      4
Job 575:      0 	    106 	      2-   180 	      1
Job 576:      0 	   8447 	     10-     5 	     23
Job 577:      9 	     86 	      8-    60 	      8
Job 578:     40 	      4 	      4-    10 	      8
Job 579:      5 	   2723 	      6-    10 	      1
Job 580:      0 	  14196 	      0-   210 	      2
Job 581:      0 	     14 	      1-   240 	      2
Job 582:      4 	  16363 	      9-    30 	      1
Job 583:      0 	   8152 	      1-   240 	      4
Job 584:      3 	      6 	      6-    10 	     32
Job 585:      0 	     30 	      4-    10 	      1
Job 586:      1 	     65 	      0-   210 	      8
Job 587:      2 	      2 	      2-   180 	      4
Job 588:      7 	     55 	      3-    15 	      4
Job 589:      0 	     23 	     10-     5 	     39
Job 590:      0 	    777 	     10-     5 	      5
Job 591:      0 	  11972 	     12-   600 	     32
